商品名稱,商品網址,賣家名稱,賣家ID,認證
手機自拍腳架【手機夾+藍芽遙控器可選色】 微調手搖齒輪升降三腳架 Swallow AL-3,https://tw.bid.yahoo.com/item/100448795055,Y9659795817,Y9659795817,商家未設定，可能是：CCAE14LP2410T3
HANLIN-2C 2.4G無線MIC麥克風 教學隱形雙耳掛頭戴 隨插即用 藍芽喇叭 藍牙音箱音響/導遊 舞蹈 直播,https://tw.bid.yahoo.com/item/100490996301,翔盛商城滿300免運店鋪,Y2146826996,商家未設定，可能是：CCAJ15LP6370T4
新款C11/智慧型 手環/血壓/心率血氧 運動 藍芽 手環 智慧手錶 來電提醒 智能手環 藍牙智能 M2 情侶手環,https://tw.bid.yahoo.com/item/100764242724,QQ生活館 全年無休當天出貨,Y0601812537,未標明
【CONVOX】BMW F30 F31 F34 F35 13-17專用 10.25吋 安卓機 藍芽 導航 8核4+64G,https://tw.bid.yahoo.com/item/100959260537,RC HID LED 專賣店店鋪,Y6051190959,商家未設定，可能是：CCAH18LP0231T3
Sansui/山水 T8 無線藍牙音箱便携重低音炮 低音王者 插卡電腦車用手機音響 愛購小舖-天,https://tw.bid.yahoo.com/item/100962740094,愛購小舖,Y9711328609,未標明
【向東電信=現貨】全新蘋果Apple airpods 二代有線充電盒 無線藍芽耳機台灣原廠公司貨空機破盤3990元,https://tw.bid.yahoo.com/item/100857611799,向東電信手機批發價自取請先電聯店鋪,Y2752289250,CCAI194G0220T0
【CONVOX】馬自達 MAZDA 14-19年 馬3 10.25吋 安卓機  8核心4+64G 藍芽 導航 影音,https://tw.bid.yahoo.com/item/100959215086,RC HID LED 專賣店店鋪,Y6051190959,商家未設定，可能是：CCAH18LP0231T3
藍芽耳機擴大器麥克風 防水 接聽電話LINE 聽音樂廣播 機車 滑雪 3/4罩式全罩式可樂帽復古越野安全帽 外送 快遞,https://tw.bid.yahoo.com/item/100820182103,最優質的賣場～最放心的選購,Y9488368056,CCAL15LP1690T4
4喇叭 木質藍芽喇叭 音質狠好-實木手感 10w猛烈輸出 支持藍牙、插卡、插線 藍牙喇叭 藍芽音響 木質喇叭 木質音響,https://tw.bid.yahoo.com/item/100282087366,昇旺電子店鋪,Y5271087369,商家未設定，可能是：CCAJ18LP0930E8
玄玄電力站  買就送可中文搜尋  安博盒子8 PRO MXA 4G 64G高階限量純淨版 藍芽語音遙控,https://tw.bid.yahoo.com/item/100970825109,玄玄電力站,Y6455566221,商家未設定，可能是：CCAP20LP1200T9
